reading_id,timestamp,equipment_id,bench_id,x_coord,y_coord,sensor_cu_grade,tonnage
39,2025-01-16 18:15:00,SHOVEL-03,BENCH-110,1039.74,5081.98,0.8478,191.75
40,2025-03-14 16:20:00,SHOVEL-02,BENCH-100,1669.73,5314.18,0.7139,125.15
41,2025-01-17 21:41:00,SHOVEL-02,BENCH-105,1316.18,5751.86,0.8237,92.33
42,2025-02-28 19:36:00,SHOVEL-01,BENCH-100,1537.63,5505.88,1.178,102.52
43,2025-02-14 02:56:00,SHOVEL-01,BENCH-105,1284.99,5438.18,0.6077,172.35
44,2025-02-08 19:51:00,SHOVEL-03,BENCH-110,1007.82,5817.1,1.1052,130.89
45,2025-03-26 03:56:00,SHOVEL-01,BENCH-105,1115.43,5107.04,0.7586,174.05
46,2025-02-04 09:38:00,SHOVEL-01,BENCH-110,1342.88,5687.5,0.9518,225.0
47,2025-03-06 15:16:00,SHOVEL-01,BENCH-100,1634.28,5829.35,0.6483,87.49
48,2025-02-12 04:40:00,SHOVEL-02,BENCH-100,1741.23,5551.68,0.6349,152.71
49,2025-01-02 03:04:00,SHOVEL-03,BENCH-100,1545.59,5834.6,0.9449,179.03
50,2025-01-19 13:08:00,SHOVEL-01,BENCH-105,1364.65,5933.09,0.8325,245.27
51,2025-01-06 11:13:00,SHOVEL-03,BENCH-100,1666.93,5353.68,0.4625,175.18
52,2025-02-22 19:47:00,SHOVEL-01,BENCH-100,1864.61,5976.21,0.7001,217.83
53,2025-02-22 00:11:00,SHOVEL-03,BENCH-105,1782.39,5411.71,0.842,193.88
54,2025-02-01 08:10:00,SHOVEL-03,BENCH-100,1382.54,5038.72,1.3355,160.02
55,2025-01-26 14:22:00,SHOVEL-02,BENCH-100,1222.92,5660.03,0.9084,147.74
56,2025-02-05 02:49:00,SHOVEL-02,BENCH-105,1641.48,5399.68,0.3682,246.8
57,2025-03-10 10:01:00,SHOVEL-01,BENCH-105,1178.57,5962.53,1.0621,125.13
58,2025-01-14 19:27:00,SHOVEL-02,BENCH-110,1786.43,5436.39,0.826,247.32
59,2025-01-15 12:57:00,SHOVEL-03,BENCH-100,1254.72,5708.79,0.7478,80.29
60,2025-03-10 21:46:00,SHOVEL-03,BENCH-110,1670.63,5364.22,1.1959,91.9
61,2025-03-27 10:39:00,SHOVEL-02,BENCH-110,1848.02,5719.75,0.975,131.05
62,2025-02-09 21:26:00,SHOVEL-02,BENCH-105,1697.21,5554.41,1.0886,112.61
63,2025-03-27 12:43:00,SHOVEL-03,BENCH-100,1615.51,5300.95,1.172,173.15
64,2025-01-01 09:18:00,SHOVEL-01,BENCH-105,1785.76,5606.66,0.5571,134.78
65,2025-02-26 14:43:00,SHOVEL-01,BENCH-110,1473.19,5901.18,0.8346,215.32
66,2025-01-22 21:05:00,SHOVEL-02,BENCH-110,1663.85,5619.26,0.4678,95.88
67,2025-01-31 21:19:00,SHOVEL-01,BENCH-100,1147.35,5046.21,0.6223,247.27
68,2025-03-20 02:29:00,SHOVEL-02,BENCH-110,1575.67,5718.35,0.7441,145.28
69,2025-02-21 07:09:00,SHOVEL-03,BENCH-110,1005.54,5750.96,0.6284,210.91
70,2025-01-14 13:14:00,SHOVEL-01,BENCH-110,1517.96,5050.22,0.9549,122.36
71,2025-01-16 14:08:00,SHOVEL-02,BENCH-110,1531.13,5558.93,1.0114,133.94
72,2025-02-26 19:52:00,SHOVEL-03,BENCH-110,1426.74,5906.85,0.4629,155.81
73,2025-01-21 23:55:00,SHOVEL-02,BENCH-105,1259.19,5247.24,0.9775,188.4
74,2025-03-08 15:40:00,SHOVEL-01,BENCH-105,1439.87,5713.54,0.4351,119.86
75,2025-02-12 10:57:00,SHOVEL-03,BENCH-100,1138.37,5231.26,1.0042,197.97
76,2025-04-01 06:04:00,SHOVEL-02,BENCH-105,1330.88,5465.92,0.9403,90.59
77,2025-02-23 12:57:00,SHOVEL-03,BENCH-110,1019.53,5880.66,0.6986,177.87
78,2025-03-03 00:22:00,SHOVEL-02,BENCH-105,1853.45,5953.43,0.8661,151.23
79,2025-03-11 19:57:00,SHOVEL-01,BENCH-105,1219.42,5435.84,1.3544,84.93
80,2025-02-13 21:43:00,SHOVEL-02,BENCH-110,1165.04,5467.39,0.6047,101.7
81,2025-03-21 17:01:00,SHOVEL-02,BENCH-110,1564.39,5027.1,0.6693,189.27
82,2025-01-18 14:11:00,SHOVEL-01,BENCH-105,1379.1,5211.66,1.074,135.56
83,2025-02-18 08:48:00,SHOVEL-02,BENCH-105,1834.91,5470.31,1.1239,207.33
84,2025-01-07 11:14:00,SHOVEL-03,BENCH-100,1781.23,5651.75,1.2073,208.22
85,2025-02-01 06:53:00,SHOVEL-01,BENCH-110,1152.38,5126.22,0.7284,193.81
86,2025-03-14 06:29:00,SHOVEL-03,BENCH-105,1766.9,5167.79,0.5624,183.23
87,2025-01-15 05:19:00,SHOVEL-01,BENCH-110,1025.68,5311.96,0.858,195.15
88,2025-02-18 12:45:00,SHOVEL-01,BENCH-100,1592.1,5830.57,0.9853,121.28
89,2025-03-31 09:54:00,SHOVEL-03,BENCH-110,1805.53,5796.23,9.695,176.21
90,2025-01-06 11:34:00,SHOVEL-02,BENCH-110,1370.57,5505.96,1.0014,138.01
91,2025-02-23 15:06:00,SHOVEL-02,BENCH-105,1635.59,5828.71,0.9378,200.24
92,2025-02-25 05:46:00,SHOVEL-03,BENCH-110,1270.08,5808.2,0.6209,171.49
93,2025-03-03 14:27:00,SHOVEL-03,BENCH-110,1268.4,5851.71,0.8513,221.22
94,2025-01-12 08:56:00,SHOVEL-02,BENCH-100,1750.48,5569.85,0.9625,193.59
95,2025-02-13 00:31:00,SHOVEL-02,BENCH-100,1487.55,5354.82,0.5171,123.92
96,2025-02-05 19:44:00,SHOVEL-02,BENCH-110,1010.15,5948.06,0.8069,94.55
97,2025-02-22 15:35:00,SHOVEL-01,BENCH-110,1476.09,5711.84,0.8039,156.19
98,2025-01-03 02:18:00,SHOVEL-01,BENCH-105,1691.79,5306.21,0.9241,178.86
99,2025-03-02 17:33:00,SHOVEL-02,BENCH-105,1996.63,5550.39,0.6413,139.81
100,2025-02-28 08:19:00,SHOVEL-02,BENCH-100,1120.66,5192.58,0.7731,100.32
101,2025-03-10 22:11:00,SHOVEL-01,BENCH-100,1738.6,5276.5,0.9843,180.23
102,2025-03-09 19:18:00,SHOVEL-01,BENCH-100,1296.25,5360.88,1.2051,131.39
103,2025-04-01 17:08:00,SHOVEL-02,BENCH-100,1974.29,5553.36,0.4306,198.56
104,2025-01-17 20:55:00,SHOVEL-02,BENCH-100,1872.72,5574.06,1.0199,159.8
105,2025-02-26 10:11:00,SHOVEL-01,BENCH-105,1941.06,5477.73,1.287,219.76
106,2025-02-21 15:04:00,SHOVEL-03,BENCH-110,1686.45,5151.73,1.0836,217.89
107,2025-02-08 02:15:00,SHOVEL-01,BENCH-110,1764.44,5606.32,1.1406,214.43
108,2025-01-29 16:24:00,SHOVEL-02,BENCH-105,1297.35,5588.53,0.8319,152.9
109,2025-03-14 19:03:00,SHOVEL-03,BENCH-110,1099.23,5762.74,0.6378,186.34
110,2025-02-03 21:05:00,SHOVEL-01,BENCH-100,1173.81,5075.06,0.7352,80.45
111,2025-02-27 22:38:00,SHOVEL-02,BENCH-105,1032.64,5288.1,1.2793,128.06
112,2025-02-28 02:43:00,SHOVEL-01,BENCH-105,1787.83,5625.06,0.8925,192.4
113,2025-01-26 13:07:00,SHOVEL-03,BENCH-100,1647.63,5908.41,0.8191,220.53
114,2025-01-10 01:10:00,SHOVEL-02,BENCH-110,1748.96,5569.21,0.7799,129.06
115,2025-01-16 14:44:00,SHOVEL-02,BENCH-110,1402.51,5272.25,0.7255,171.8
116,2025-02-26 02:38:00,SHOVEL-01,BENCH-105,1734.53,5603.71,0.6847,84.4
117,2025-01-30 21:53:00,SHOVEL-03,BENCH-110,1950.79,5999.57,0.8093,194.29
118,2025-02-04 18:02:00,SHOVEL-01,BENCH-105,1518.96,5442.23,1.4367,127.29
119,2025-03-16 13:40:00,SHOVEL-02,BENCH-100,1470.01,5408.35,0.3586,134.58
120,2025-01-14 05:21:00,SHOVEL-02,BENCH-110,1495.47,5662.58,0.7527,148.08
121,2025-03-12 01:29:00,SHOVEL-01,BENCH-105,1252.4,5115.92,0.6427,211.33
122,2025-03-07 00:42:00,SHOVEL-03,BENCH-105,1413.25,5187.58,1.0455,141.5
123,2025-03-05 20:28:00,SHOVEL-01,BENCH-100,1267.06,5131.01,0.5232,128.96
124,2025-03-31 15:07:00,SHOVEL-01,BENCH-110,1608.87,5239.3,0.679,106.92
125,2025-03-12 00:35:00,SHOVEL-02,BENCH-100,1224.7,5841.41,1.3238,99.29
126,2025-01-16 20:53:00,SHOVEL-01,BENCH-105,1932.65,5291.86,0.6082,199.92
127,2025-02-23 15:30:00,SHOVEL-01,BENCH-105,1551.27,5383.59,1.4631,236.72
128,2025-03-07 23:56:00,SHOVEL-01,BENCH-100,1276.25,5790.01,0.4314,150.54
129,2025-03-06 08:52:00,SHOVEL-01,BENCH-105,1726.05,5837.48,1.1101,178.59
130,2025-03-26 15:55:00,SHOVEL-01,BENCH-105,1538.58,5345.12,1.0229,173.83
131,2025-03-11 12:29:00,SHOVEL-02,BENCH-100,1980.77,5238.81,0.6135,145.11
132,2025-02-22 01:20:00,SHOVEL-03,BENCH-105,1705.23,5811.41,0.0,145.63
133,2025-03-26 20:09:00,SHOVEL-02,BENCH-100,1126.25,5965.35,0.687,136.44
134,2025-01-13 14:06:00,SHOVEL-03,BENCH-105,1015.35,5144.16,1.1437,228.06
135,2025-01-20 02:30:00,SHOVEL-02,BENCH-105,1623.26,5397.48,0.7504,93.65
136,2025-02-12 21:54:00,SHOVEL-03,BENCH-105,1954.14,5626.8,1.0954,230.86
137,2025-03-04 17:02:00,SHOVEL-03,BENCH-100,1234.77,5684.4,1.1416,128.85
138,2025-01-30 23:05:00,SHOVEL-02,BENCH-100,1760.37,5703.89,0.6416,97.09
139,2025-01-22 22:19:00,SHOVEL-01,BENCH-100,1324.37,5056.12,0.8517,140.94
140,2025-02-25 04:15:00,SHOVEL-03,BENCH-105,1565.93,5792.52,0.8366,108.9
141,2025-01-11 19:55:00,SHOVEL-02,BENCH-110,1683.13,5497.67,0.9313,179.14
142,2025-01-30 14:40:00,SHOVEL-02,BENCH-105,1255.33,5009.4,1.1475,216.79
143,2025-02-06 21:34:00,SHOVEL-01,BENCH-100,1441.73,5345.57,1.2271,179.89
144,2025-03-23 13:44:00,SHOVEL-02,BENCH-105,1845.3,5199.22,0.8591,145.4
145,2025-03-03 03:15:00,SHOVEL-02,BENCH-110,1358.96,5295.87,0.8704,198.88
146,2025-01-03 21:25:00,SHOVEL-02,BENCH-100,1565.93,5685.8,0.7585,206.59
147,2025-01-07 19:47:00,SHOVEL-02,BENCH-105,1775.74,5230.12,0.7706,216.33
148,2025-01-29 20:12:00,SHOVEL-03,BENCH-105,1677.76,5720.93,0.8838,192.06
149,2025-01-18 20:06:00,SHOVEL-03,BENCH-110,1039.42,5788.61,1.0995,85.67
150,2025-02-16 23:08:00,SHOVEL-01,BENCH-105,1326.72,5415.5,1.1036,114.14
151,2025-03-11 11:33:00,SHOVEL-03,BENCH-105,1830.47,5256.97,0.5979,220.2
152,2025-03-03 09:47:00,SHOVEL-02,BENCH-100,1468.33,5075.3,1.0857,208.21
153,2025-01-29 21:46:00,SHOVEL-03,BENCH-105,1967.27,5804.59,0.8542,142.18
154,2025-02-20 00:16:00,SHOVEL-03,BENCH-100,1454.79,5672.83,1.1221,194.3
155,2025-03-16 12:52:00,SHOVEL-03,BENCH-105,1108.35,5233.82,0.9706,84.25
156,2025-03-13 10:58:00,SHOVEL-03,BENCH-100,1647.65,5635.4,0.8835,158.93
157,2025-03-31 09:41:00,SHOVEL-02,BENCH-100,1139.78,5946.26,1.1214,131.74
158,2025-03-05 03:06:00,SHOVEL-01,BENCH-110,1135.66,5453.64,1.1781,193.98
159,2025-03-31 17:26:00,SHOVEL-03,BENCH-110,1726.6,5885.41,0.9957,191.34
160,2025-03-04 19:26:00,SHOVEL-02,BENCH-100,1690.28,5217.27,0.9206,155.6
161,2025-01-31 11:06:00,SHOVEL-03,BENCH-105,1544.47,5977.84,0.9219,140.97
162,2025-02-20 08:12:00,SHOVEL-01,BENCH-105,1091.67,5212.11,0.8128,188.71
163,2025-01-03 01:50:00,SHOVEL-02,BENCH-100,1988.82,5786.98,0.5014,114.88
164,2025-03-12 06:37:00,SHOVEL-01,BENCH-100,1328.56,5147.55,1.2029,233.09
165,2025-01-01 08:54:00,SHOVEL-01,BENCH-100,1540.22,5798.51,1.0563,98.69
166,2025-01-04 04:00:00,SHOVEL-02,BENCH-100,1588.85,5015.78,0.7752,125.11
167,2025-01-17 23:26:00,SHOVEL-03,BENCH-100,1745.67,5476.25,0.8148,212.26
168,2025-03-07 18:06:00,SHOVEL-02,BENCH-110,1221.55,5615.11,1.082,203.63
169,2025-03-26 16:19:00,SHOVEL-02,BENCH-110,1964.03,5060.83,0.6179,161.43
170,2025-02-21 13:43:00,SHOVEL-01,BENCH-105,1712.4,5443.56,0.9081,232.88
171,2025-02-11 19:09:00,SHOVEL-01,BENCH-100,1275.02,5633.08,0.6639,173.22
172,2025-02-11 12:38:00,SHOVEL-03,BENCH-105,1453.72,5605.43,0.8707,96.86
173,2025-03-31 03:54:00,SHOVEL-03,BENCH-110,1877.71,5551.34,0.7508,227.13
174,2025-02-25 14:56:00,SHOVEL-01,BENCH-105,1338.93,5453.5,0.3754,150.72
175,2025-01-13 10:27:00,SHOVEL-02,BENCH-110,1254.89,5953.59,0.6533,196.76
176,2025-03-02 02:05:00,SHOVEL-01,BENCH-100,1431.88,5744.59,1.0458,143.35
177,2025-01-17 17:03:00,SHOVEL-03,BENCH-110,1561.68,5670.01,1.0516,149.84
178,2025-03-27 13:55:00,SHOVEL-03,BENCH-100,1968.4,5600.41,0.765,139.78
179,2025-03-15 16:13:00,SHOVEL-01,BENCH-110,1482.19,5847.27,0.8223,139.52
180,2025-03-13 11:07:00,SHOVEL-02,BENCH-110,1226.16,5429.11,0.8645,175.36
181,2025-03-21 19:43:00,SHOVEL-03,BENCH-110,1026.25,5929.08,1.1025,221.01
182,2025-02-04 00:11:00,SHOVEL-02,BENCH-110,1762.41,5921.54,0.8549,139.67
183,2025-01-24 04:36:00,SHOVEL-03,BENCH-105,1069.59,5740.97,0.9904,245.21
184,2025-01-12 23:33:00,SHOVEL-01,BENCH-105,1419.83,5340.9,0.907,142.91
185,2025-02-11 18:38:00,SHOVEL-01,BENCH-100,1155.58,5754.44,0.8126,88.46
186,2025-01-11 08:28:00,SHOVEL-03,BENCH-105,1485.66,5442.04,0.896,126.44
187,2025-03-07 03:22:00,SHOVEL-02,BENCH-100,1283.25,5678.49,1.2895,162.73
188,2025-03-27 09:02:00,SHOVEL-01,BENCH-105,1984.45,5054.78,1.3269,114.75
189,2025-01-28 04:48:00,SHOVEL-02,BENCH-105,1328.12,5007.73,1.0827,206.99
190,2025-01-23 04:24:00,SHOVEL-03,BENCH-110,1230.11,5558.72,1.3328,193.57
191,2025-02-15 02:25:00,SHOVEL-03,BENCH-100,1436.22,5459.75,0.5921,93.24
192,2025-02-10 18:27:00,SHOVEL-03,BENCH-105,1709.5,5417.69,0.277,99.58
193,2025-01-03 10:10:00,SHOVEL-03,BENCH-105,1832.03,5919.77,0.6722,94.98
194,2025-01-14 07:27:00,SHOVEL-03,BENCH-105,1523.96,5395.77,1.0855,132.75
195,2025-02-13 07:21:00,SHOVEL-01,BENCH-100,1510.48,5114.03,1.0415,166.69
196,2025-02-14 11:46:00,SHOVEL-03,BENCH-100,1236.27,5146.44,0.6647,113.54
197,2025-03-19 04:48:00,SHOVEL-03,BENCH-100,1177.15,5772.85,0.6665,164.0
198,2025-03-14 18:28:00,SHOVEL-03,BENCH-110,1642.99,5986.53,1.1073,134.95
199,2025-03-22 10:09:00,SHOVEL-02,BENCH-100,1468.92,5631.39,0.53,215.38
200,2025-03-17 01:22:00,SHOVEL-03,BENCH-100,1310.41,5451.91,0.9204,89.67
201,2025-02-06 02:41:00,SHOVEL-01,BENCH-110,1594.08,5384.48,0.4034,178.66
202,2025-01-06 14:58:00,SHOVEL-03,BENCH-110,1188.24,5605.01,0.8551,165.23
203,2025-01-08 14:06:00,SHOVEL-02,BENCH-110,1084.33,5646.13,0.7873,86.65
204,2025-04-01 14:28:00,SHOVEL-03,BENCH-110,1609.81,5363.9,0.5717,236.05
205,2025-02-19 13:49:00,SHOVEL-02,BENCH-110,1597.89,5789.23,0.9212,190.04
206,2025-01-09 10:06:00,SHOVEL-03,BENCH-110,1386.56,5252.0,0.9379,224.77
207,2025-03-19 04:21:00,SHOVEL-01,BENCH-110,1663.61,5916.75,0.5687,132.74
208,2025-03-25 22:42:00,SHOVEL-02,BENCH-100,1595.04,5938.0,0.8732,132.63
209,2025-02-18 20:50:00,SHOVEL-02,BENCH-100,1670.12,5828.96,1.247,205.59
210,2025-03-29 16:05:00,SHOVEL-03,BENCH-110,1423.41,5361.83,1.1502,141.64
211,2025-01-24 06:21:00,SHOVEL-02,BENCH-100,1226.54,5137.57,1.5056,93.12
212,2025-01-13 16:49:00,SHOVEL-03,BENCH-110,1883.68,5037.75,0.8655,137.25
213,2025-03-21 04:38:00,SHOVEL-02,BENCH-100,1162.25,5831.35,1.1208,211.09
214,2025-01-22 23:28:00,SHOVEL-01,BENCH-105,1364.3,5719.59,0.6637,244.83
215,2025-03-20 09:48:00,SHOVEL-03,BENCH-105,1234.0,5239.17,0.9739,244.15
216,2025-03-02 06:23:00,SHOVEL-03,BENCH-110,1984.44,5461.68,0.391,127.9
217,2025-02-18 16:33:00,SHOVEL-02,BENCH-100,1816.89,5801.26,0.8401,103.53
218,2025-02-02 01:41:00,SHOVEL-02,BENCH-105,1554.54,5102.59,1.2315,223.8
219,2025-01-16 09:05:00,SHOVEL-01,BENCH-105,1449.32,5513.35,1.1467,221.28
220,2025-01-12 07:52:00,SHOVEL-02,BENCH-105,1930.47,5414.9,0.4197,147.4
221,2025-02-17 07:24:00,SHOVEL-01,BENCH-105,1224.54,5318.68,0.9434,96.84
222,2025-03-25 10:50:00,SHOVEL-01,BENCH-100,1038.3,5917.4,0.326,160.32
223,2025-01-18 22:30:00,SHOVEL-02,BENCH-110,1005.25,5079.23,0.5775,123.51
224,2025-01-20 17:46:00,SHOVEL-03,BENCH-110,1423.25,5776.17,0.8665,120.4
225,2025-01-16 01:15:00,SHOVEL-02,BENCH-110,1793.9,5457.11,0.6368,98.85
226,2025-03-05 19:34:00,SHOVEL-01,BENCH-110,1515.38,5241.94,0.9107,104.41
227,2025-02-24 00:39:00,SHOVEL-02,BENCH-100,1570.66,5187.31,0.6439,193.6
228,2025-03-09 11:04:00,SHOVEL-03,BENCH-110,1507.33,5988.33,0.654,174.21
229,2025-02-19 15:02:00,SHOVEL-03,BENCH-105,1981.04,5253.65,0.7404,82.76
230,2025-01-09 11:15:00,SHOVEL-03,BENCH-110,1628.26,5771.5,0.6158,204.98
231,2025-02-12 04:02:00,SHOVEL-02,BENCH-110,1338.55,5642.8,1.344,221.17
232,2025-03-29 14:44:00,SHOVEL-02,BENCH-110,1182.28,5134.85,0.6922,201.73
233,2025-02-28 01:18:00,SHOVEL-01,BENCH-100,1791.11,5885.79,0.8042,133.65
234,2025-02-09 16:25:00,SHOVEL-03,BENCH-105,1253.31,5753.29,1.0641,112.49
235,2025-02-15 01:55:00,SHOVEL-03,BENCH-105,1273.22,5799.34,0.6713,154.28
236,2025-02-21 23:28:00,SHOVEL-02,BENCH-105,1973.72,5496.2,0.5971,164.58
237,2025-03-08 08:51:00,SHOVEL-01,BENCH-110,1424.5,5430.61,0.5806,249.17
238,2025-01-24 17:18:00,SHOVEL-02,BENCH-100,1080.07,5660.92,1.2413,132.1
239,2025-03-19 22:27:00,SHOVEL-01,BENCH-110,1443.91,5447.13,1.019,203.56
240,2025-02-15 19:27:00,SHOVEL-02,BENCH-110,1980.03,5947.9,1.7093,92.76
241,2025-03-23 12:23:00,SHOVEL-03,BENCH-110,1679.41,5952.79,0.7416,104.27
242,2025-03-19 21:50:00,SHOVEL-02,BENCH-100,1126.23,5236.0,0.4647,189.68
243,2025-02-16 12:36:00,SHOVEL-01,BENCH-110,1153.44,5449.92,0.5471,143.06
244,2025-02-26 02:36:00,SHOVEL-01,BENCH-110,1366.95,5314.39,0.6018,127.38
245,2025-01-15 00:47:00,SHOVEL-01,BENCH-105,1517.75,5913.54,1.3423,100.02
246,2025-02-03 22:28:00,SHOVEL-01,BENCH-110,1285.58,5916.48,0.9664,163.5
247,2025-01-16 04:54:00,SHOVEL-01,BENCH-105,1172.66,5713.37,0.8004,249.53
248,2025-03-29 10:42:00,SHOVEL-02,BENCH-110,1064.94,5542.17,1.2739,231.53
249,2025-01-21 22:45:00,SHOVEL-03,BENCH-110,1174.09,5361.49,0.5755,118.12
250,2025-01-26 04:15:00,SHOVEL-02,BENCH-100,1360.9,5572.28,0.5205,159.46
251,2025-03-12 04:39:00,SHOVEL-01,BENCH-100,1309.29,5999.6,1.2343,202.21
252,2025-03-09 13:49:00,SHOVEL-02,BENCH-110,1073.75,5972.38,0.5454,189.2
253,2025-02-27 14:43:00,SHOVEL-03,BENCH-105,1128.33,5829.05,0.6484,173.72
254,2025-03-17 05:49:00,SHOVEL-01,BENCH-105,1502.86,5868.21,0.6328,221.34
255,2025-03-08 04:19:00,SHOVEL-01,BENCH-100,1322.66,5709.33,0.7957,138.82
256,2025-03-08 09:54:00,SHOVEL-01,BENCH-105,1196.3,5956.35,0.9136,126.66
257,2025-03-22 09:39:00,SHOVEL-03,BENCH-100,1502.57,5168.64,0.7177,240.07
258,2025-01-20 05:42:00,SHOVEL-03,BENCH-110,1902.0,5337.62,0.7662,237.07
259,2025-01-06 00:05:00,SHOVEL-01,BENCH-110,1771.02,5264.66,0.897,115.84
260,2025-03-15 13:39:00,SHOVEL-03,BENCH-100,1498.04,5627.16,0.9349,129.24
261,2025-02-08 15:15:00,SHOVEL-03,BENCH-105,1297.43,5072.97,0.4761,90.19
262,2025-02-26 13:30:00,SHOVEL-02,BENCH-100,1340.19,5143.67,0.73,226.45
263,2025-02-10 23:55:00,SHOVEL-02,BENCH-105,1130.77,5370.54,0.5148,175.48
264,2025-02-10 07:29:00,SHOVEL-01,BENCH-105,1449.6,5140.88,0.447,88.6
265,2025-02-19 19:26:00,SHOVEL-01,BENCH-100,1813.48,5933.75,0.8426,202.59
266,2025-01-25 05:31:00,SHOVEL-03,BENCH-105,1498.76,5308.54,0.8767,83.94
267,2025-02-20 16:29:00,SHOVEL-01,BENCH-100,1583.34,5048.66,0.7366,127.83
268,2025-03-18 20:43:00,SHOVEL-02,BENCH-105,1536.69,5847.17,0.6908,153.26
269,2025-02-03 23:23:00,SHOVEL-02,BENCH-105,1045.24,5051.16,0.6041,175.51
270,2025-02-16 17:18:00,SHOVEL-01,BENCH-105,1504.26,5764.4,1.0554,127.55
271,2025-03-21 21:39:00,SHOVEL-01,BENCH-100,1975.08,5393.9,0.9685,215.13
272,2025-02-13 17:23:00,SHOVEL-01,BENCH-100,1602.46,5401.39,1.0978,86.84
273,2025-01-05 04:45:00,SHOVEL-02,BENCH-105,1519.33,5148.94,0.1683,231.83
274,2025-01-18 10:59:00,SHOVEL-03,BENCH-105,1162.5,5990.62,0.978,205.68
275,2025-02-08 18:21:00,SHOVEL-03,BENCH-110,1532.34,5708.74,0.8945,130.96
276,2025-01-03 11:21:00,SHOVEL-03,BENCH-100,1979.9,5583.7,0.8592,215.45
277,2025-03-30 20:01:00,SHOVEL-03,BENCH-105,1265.53,5655.59,1.1623,245.25
278,2025-03-16 18:14:00,SHOVEL-03,BENCH-100,1583.52,5170.51,0.9015,186.93
